"ID","Station Name","Total Docks","Docks in Service","Status","Latitude","Longitude"
"1859717767703464460","Kedzie Ave & Redfield Dr","15","15","In Service","41.76523","-87.70316"
"a3a3dc37-a135-11e9-9cda-0a87ae2ba916","Fairbanks Ct & Grand Ave","15","15","In Service","41.8918473721","-87.6205801964"
"1861588043429399408","McCormick Blvd & Devon Ave","11","11","In Service","41.9972","-87.71105"
"a3af1767-a135-11e9-9cda-0a87ae2ba916","Broadway & Granville Ave","23","23","In Service","41.9947796884","-87.6602845349"
"a3aa91f4-a135-11e9-9cda-0a87ae2ba916","Greenview Ave & Diversey Pkwy","15","15","In Service","41.9325896343","-87.6659363508"
"a3b2659d-a135-11e9-9cda-0a87ae2ba916","State St & 76th St","11","11","In Service","41.756971","-87.624621"
"a3b1eaa7-a135-11e9-9cda-0a87ae2ba916","Morgan St & Pershing Rd","7","7","In Service","41.823613","-87.650931"
"9e1fbaaa-e872-4505-ada6-5080e62bef77","Lincoln Park Conservatory","31","31","In Service","41.9239313114","-87.6358245313"
"a3a77c8d-a135-11e9-9cda-0a87ae2ba916","Canal St & Adams St","47","47","In Service","41.879255","-87.639904"
"a3a9e44a-a135-11e9-9cda-0a87ae2ba916","Franklin St & Monroe St","48","48","In Service","41.880317","-87.635185"
"a3a75d8a-a135-11e9-9cda-0a87ae2ba916","State St & 35th St","15","15","In Service","41.831036314","-87.6267975569"
"1969221526359528022","Milwaukee Ave & Ainslie St","19","19","In Service","41.96861","-87.76108"
"1934289745311123692","Pulaski Rd & 51st St","15","15","In Service","41.800434","-87.7247496"
"1436495109493626544","W Washington Blvd & N Peoria St","9","9","In Service","41.883043","-87.649931"
"2116533844391069994","Larrabee St & Clybourn Ave","15","15","In Service","41.9066","-87.64322"
"a3a49cd7-a135-11e9-9cda-0a87ae2ba916","Wood St & Milwaukee Ave","16","16","In Service","41.907655","-87.672552"
"a3a53d70-a135-11e9-9cda-0a87ae2ba916","McClurg Ct & Ohio St","19","19","In Service","41.8925921197","-87.6172891259"
